,Movie Title,Year,Studio,Total Gross,Theaters,Opening,Open,Close,Rated,Runtime (Minutes),Director,Actor 1,Actor 2,Rotten Tomatoes (%),Metacritic,IMDB Rating,Production Studio
32,Captain America: Civil War,2016,BV,408084349,4226,179139142,43226,43365,PG-13,147,Anthony Russo,Chris Evans, Robert Downey Jr.,91,75,78,Walt Disney Pictures
33,The Secret Life of Pets,2016,Uni.,368384330,4381,104352905,43289,43463,PG,87,Chris Renaud,Louis C.K., Eric Stonestreet,75,61,65,Universal Pictures
34,The Jungle Book ,2016,BV,364001123,4144,103261464,43205,43372,PG,106,Jon Favreau,Neel Sethi, Bill Murray,95,77,75,Walt Disney Pictures
35,Deadpool,2016,Fox,363070709,3856,132434639,43143,43267,R,108,Tim Miller,Ryan Reynolds, Karan Soni,83,65,80,20th Century Fox
36,Zootopia,2016,BV,341268248,3959,75063401,43163,43316,PG,108,Byron Howard,Ginnifer Goodwin, Jason Bateman,98,78,80,Walt Disney Animation Studios
37,Batman v Superman: Dawn of Justice,2016,WB,330360194,4256,166007347,43184,43267,PG-13,151,Zack Snyder,Ben Affleck, Henry Cavill,27,44,66,Warner Bros. Pictures
38,Suicide Squad,2016,WB,325100054,4255,133682248,43317,43414,PG-13,123,David Ayer,Will Smith, Jaime FitzSimons,26,40,61,Warner Bros. Pictures
39,Sing,2016,Uni.,270395425,4029,35258145,43455,43221,PG,108,Garth Jennings,Matthew McConaughey, Reese Witherspoon,73,59,71,Illumination Entertainment
40,Star Wars: The Last Jedi,2017,BV,620164565,"4,232",220009584,15-Dec,-,PG-13,152,Rian Johnson,Mark Hamill, Carrie Fisher,91,85,74,Walt Disney Pictures
41,Beauty and the Beast ,2017,BV,504014165,"4,210",174750616,17-Mar,13-Jul,PG,129,Bill Condon,Emma Watson, Dan Stevens,71,65,73,Walt Disney Pictures
42,Wonder Woman,2017,WB,412563408,"4,165",103251471,2-Jun,9-Nov,PG-13,141,Patty Jenkins,Gal Gadot, Chris Pine,92,76,75,Warner Bros. Pictures
43,Jumanji: Welcome to the Jungle,2017,Sony,403652109,"3,849",36169328,20-Dec,-,PG-13,119,Jake Kasdan,Dwayne Johnson, Kevin Hart,76,58,70,Columbia Pictures
44,Guardians of the Galaxy Vol. 2,2017,BV,389813101,"4,347",146510104,5-May,21-Sep,PG-13,136,James Gunn,Chris Pratt, Zoe Saldana,83,67,77,Walt Disney Pictures
45,Spider-Man: Homecoming,2017,Sony,334201140,"4,348",117027503,7-Jul,30-Nov,PG-13,133,Jon Watts,Tom Holland, Michael Keaton,92,73,75,Sony Pictures
46,It,2017,WB (NL),327481748,"4,148",123403419,8-Sep,14-Dec,R,135,Andy Muschietti,Jaeden Lieberher, Jeremy Ray Taylor,85,69,75,Warner Bros. Pictures
47,Thor: Ragnarok,2017,BV,315058289,"4,080",122744989,3-Nov,15-Mar,PG-13,130,Taika Waititi,Chris Hemsworth, Tom Hiddleston,92,74,80,Walt Disney Pictures
48,Despicable Me 3,2017,Uni.,264624300,"4,535",72434025,30-Jun,21-Dec,PG,89,Kyle Balda,Steve Carell, Kristen Wiig,60,49,63,Universal Pictures
49,Justice League,2017,WB,229024295,"4,051",93842239,17-Nov,15-Mar,PG-13,120,Zack Snyder,Ben Affleck, Henry Cavill,40,45,68,Warner Bros. Pictures
